"targetId","comparatorId","outcomeIds","excludedCovariateConceptIds","includedCovariateConceptIds"
"9972762","430090032","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"9610472","9530762","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"430090032","9530762","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"9506962","9530762","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"190116852","9530762","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"9972762","9530762","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"9610472","9506962","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"430090032","9506962","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"9530762","9506962","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"190116852","9506962","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"9972762","9506962","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"9610472","190116852","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"430090032","190116852","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"9530762","190116852","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"9506962","190116852","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"9972762","190116852","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"9610472","9972762","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"430090032","9972762","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"9530762","9972762","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"9506962","9972762","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
"190116852","9972762","1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20","961047;43009003;953076;950696;19011685;997276",""
